state_id,race_id,state_pop_race_count,state_pop_race_percentage
18,5,66585,0.0212
18,3,39048,0.0124
18,6,11976,0.0038
18,7,3729,0.0012
5,1,2301041,0.7672
5,4,459542,0.1532
5,3,83576,0.0279
5,5,80537,0.0269
5,2,45504,0.0152
5,6,20434,0.0068
5,7,8733,0.0029
27,1,1743220,0.5841
27,4,1125627,0.3772
27,5,40296,0.0135
27,3,30728,0.0103
27,2,29605,0.0099
27,6,14269,0.0048
27,7,680,0.0002
19,1,2455939,0.8438
19,4,170291,0.0585
19,5,100557,0.0345
19,2,85794,0.0295
19,3,71683,0.0246
19,6,24010,0.0082
19,7,2382,0.0008
34,1,1565366,0.7481
34,6,199845,0.0955
34,3,180638,0.0863
34,5,68264,0.0326
34,4,44120,0.0211
34,2,32577,0.0156
34,7,1644,0.0008
30,1,1666870,0.8706
30,4,92406,0.0483
30,5,50386,0.0263
30,2,45655,0.0238
30,3,40253,0.021
30,6,17673,0.0092
30,7,1327,0.0007
15,1,1545406,0.8997
15,3,59676,0.0347
15,5,50569,0.0294
15,2,24287,0.0141
15,6,23136,0.0135
15,4,11918,0.0069
15,7,2755,0.0016
54,1,1691604,0.9308
54,4,66990,0.0369
54,5,32135,0.0177
54,2,14523,0.008
54,3,7971,0.0044
54,6,3667,0.002
54,7,419,0.0002
14,2,537355,0.3779
14,1,354847,0.2495
14,5,339727,0.2389
14,7,142997,0.1006
14,4,26025,0.0183
14,3,17433,0.0123
14,6,3710,0.0026
32,1,1252131,0.9288
32,2,36180,0.0268
32,5,28281,0.021
32,4,21546,0.016
32,3,7510,0.0056
32,6,2036,0.0015
32,7,443,0.0003
22,1,1259521,0.9431
22,5,29796,0.0223
22,4,18468,0.0138
22,2,15109,0.0113
22,6,8660,0.0065
22,3,3541,0.0027
22,7,396,0.0003
29,1,930204,0.8854
29,6,66839,0.0636
29,5,32161,0.0306
29,2,8259,0.0079
29,3,7076,0.0067
29,4,5303,0.005
29,7,807,0.0008
44,1,850597,0.8046
44,4,71561,0.0677
44,3,57807,0.0547
44,2,35958,0.034
44,5,35221,0.0333
44,6,5277,0.005
44,7,810,0.0008
9,1,658237,0.6876
9,4,212302,0.2218
9,2,37009,0.0387
9,5,27079,0.0283
9,3,18350,0.0192
9,6,3729,0.0039
9,7,542,0.0006
46,1,733719,0.8427
46,6,76190,0.0875
46,5,22837,0.0262
46,4,17531,0.0201
46,2,12627,0.0145
46,3,7230,0.0083
46,7,504,0.0006
37,1,655136,0.8658
37,6,40006,0.0529
37,4,21985,0.0291
37,5,19612,0.0259
37,2,11006,0.0145
37,3,8109,0.0107
37,7,863,0.0011
2,1,476015,0.6458
2,6,109751,0.1489
2,5,60665,0.0823
2,2,45920,0.0623
2,4,24205,0.0328
2,3,11308,0.0153
2,7,9204,0.0125
10,4,320811,0.4631
10,1,285857,0.4127
10,3,34511,0.0498
10,2,27592,0.0398
10,5,21445,0.031
10,6,2091,0.003
10,7,376,0.0005
51,1,587883,0.9416
51,5,12600,0.0202
51,2,10461,0.0168
51,4,8502,0.0136
51,3,2410,0.0039
51,6,2132,0.0034
51,7,325,0.0005
56,1,531304,0.9144
56,5,15521,0.0267
56,6,14164,0.0244
56,3,8832,0.0152
56,4,5582,0.0096
56,2,5025,0.0086
56,7,596,0.001
