pop_earnings_id,state_id,state_name,state_earning_edu,state_earning_average,state_earning_male,state_earning_female,education_id
117,21,Minnesota,High School Grad,33564,40634,26505,3
118,21,Minnesota,Some College,40979,49328,33836,4
119,21,Minnesota,Bachelors Degree,58085,70534,49162,6
120,21,Minnesota,Graduate Degree,75047,87163,66319,7
121,31,Mississippi,Less Than High School,21933,26974,15938,1
122,31,Mississippi,High School Grad,27454,33197,21223,3
123,31,Mississippi,Some College,31773,41202,26416,4
124,31,Mississippi,Bachelors Degree,43511,54644,37892,6
125,31,Mississippi,Graduate Degree,55505,71607,50424,7
126,18,Missouri,Less Than High School,23275,27619,17990,1
127,18,Missouri,High School Grad,30658,36773,24162,3
128,18,Missouri,Some College,35102,42861,29850,4
129,18,Missouri,Bachelors Degree,50042,61420,41934,6
130,18,Missouri,Graduate Degree,62076,77284,53957,7
131,42,Montana,Less Than High School,21008,27006,14910,1
132,42,Montana,High School Grad,29187,35589,22431,3
133,42,Montana,Some College,31875,40302,26735,4
134,42,Montana,Bachelors Degree,42388,51534,37148,6
135,42,Montana,Graduate Degree,57471,68343,51624,7
136,35,Nebraska,Less Than High School,26610,31204,20127,1
137,35,Nebraska,High School Grad,31488,38657,24695,3
138,35,Nebraska,Some College,37348,46021,30342,4
139,35,Nebraska,Bachelors Degree,50424,60978,42926,6
140,35,Nebraska,Graduate Degree,63653,76298,57074,7
141,33,Nevada,Less Than High School,27489,30858,23075,1
142,33,Nevada,High School Grad,32067,36540,28197,3
143,33,Nevada,Some College,37952,43626,32409,4
144,33,Nevada,Bachelors Degree,49770,57240,42926,6
145,33,Nevada,Graduate Degree,67544,80782,60009,7
146,45,New Hampshire,Less Than High School,29284,33198,22771,1
147,45,New Hampshire,High School Grad,36311,43164,28547,3
148,45,New Hampshire,Some College,42222,51980,34787,4
149,45,New Hampshire,Bachelors Degree,57385,74158,46179,6
150,45,New Hampshire,Graduate Degree,72303,93432,62232,7
151,10,New Jersey,Less Than High School,25024,29748,19396,1
152,10,New Jersey,High School Grad,34524,42045,27094,3
153,10,New Jersey,Some College,43294,52609,35805,4
154,10,New Jersey,Bachelors Degree,66241,81652,56093,6
155,10,New Jersey,Graduate Degree,91373,110939,74567,7
156,36,New Mexico,Less Than High School,20375,25024,14595,1
157,36,New Mexico,High School Grad,27471,31778,22354,3
158,36,New Mexico,Some College,31676,40028,26538,4
159,36,New Mexico,Bachelors Degree,45594,51925,41214,6
160,36,New Mexico,Graduate Degree,62125,79877,55121,7
161,4,New York,Less Than High School,23196,26947,18507,1
162,4,New York,High School Grad,32153,39044,26136,3
163,4,New York,Some College,40430,48104,33947,4
164,4,New York,Bachelors Degree,61606,71252,53455,6
165,4,New York,Graduate Degree,78891,95382,69789,7
166,9,North Carolina,Less Than High School,22459,26011,16854,1
167,9,North Carolina,High School Grad,29278,32969,23360,3
168,9,North Carolina,Some College,33784,41493,28967,4
169,9,North Carolina,Bachelors Degree,50523,63291,42689,6
170,9,North Carolina,Graduate Degree,63845,85203,54012,7
171,43,North Dakota,Less Than High School,30865,39464,19820,1
172,43,North Dakota,High School Grad,36245,43971,26044,3
173,43,North Dakota,Some College,41707,52032,31612,4
174,43,North Dakota,Bachelors Degree,51227,62903,44313,6
175,43,North Dakota,Graduate Degree,65538,77319,59002,7
176,7,Ohio,Less Than High School,22881,27785,16905,1
177,7,Ohio,High School Grad,31277,38701,24197,3
178,7,Ohio,Some College,36098,44753,30274,4
179,7,Ohio,Bachelors Degree,53703,65129,45039,6
180,7,Ohio,Graduate Degree,69233,83408,60914,7
181,24,Oklahoma,Less Than High School,24518,29691,16937,1
182,24,Oklahoma,High School Grad,30315,37022,23176,3
183,24,Oklahoma,Some College,35042,43975,28521,4
184,24,Oklahoma,Bachelors Degree,47016,60493,39532,6
185,24,Oklahoma,Graduate Degree,60340,77229,49963,7
186,38,Oregon,Less Than High School,25506,30001,20388,1
187,38,Oregon,High School Grad,30815,36061,25236,3
188,38,Oregon,Some College,35639,42707,30136,4
189,38,Oregon,Bachelors Degree,51224,62556,42174,6
190,38,Oregon,Graduate Degree,68522,85269,58594,7
191,8,Pennsylvania,Less Than High School,25399,30732,18396,1
192,8,Pennsylvania,High School Grad,32000,40291,25419,3
193,8,Pennsylvania,Some College,38381,46864,31548,4
194,8,Pennsylvania,Bachelors Degree,54358,65211,45918,6
195,8,Pennsylvania,Graduate Degree,73133,89823,62994,7
196,52,Puerto Rico,Less Than High School,10962,11658,9292,1
197,52,Puerto Rico,High School Grad,15205,15879,13085,3
198,52,Puerto Rico,Some College,17412,19285,16175,4
199,52,Puerto Rico,Bachelors Degree,25511,30122,23622,6
200,52,Puerto Rico,Graduate Degree,37145,45406,32365,7
201,40,Rhode Island,Less Than High School,27880,31891,21758,1
202,40,Rhode Island,High School Grad,36009,42551,29769,3
203,40,Rhode Island,Some College,40976,49586,35313,4
204,40,Rhode Island,Bachelors Degree,56642,68194,49041,6
205,40,Rhode Island,Graduate Degree,76777,87644,69972,7
206,19,South Carolina,Less Than High School,21391,25135,16002,1
207,19,South Carolina,High School Grad,28940,33279,23227,3
208,19,South Carolina,Some College,34096,42705,28285,4
209,19,South Carolina,Bachelors Degree,49440,62543,39929,6
210,19,South Carolina,Graduate Degree,59295,76763,52353,7
211,41,South Dakota,Less Than High School,25740,29366,19485,1
212,41,South Dakota,High School Grad,31248,38115,24335,3
213,41,South Dakota,Some College,36300,44336,30048,4
214,41,South Dakota,Bachelors Degree,45948,54319,39879,6
215,41,South Dakota,Graduate Degree,57538,66625,52762,7
216,12,Tennessee,Less Than High School,22491,26222,17471,1
217,12,Tennessee,High School Grad,29753,34732,23746,3
218,12,Tennessee,Some College,34634,42542,29395,4
219,12,Tennessee,Bachelors Degree,49236,60928,41791,6
220,12,Tennessee,Graduate Degree,62229,79720,53497,7
221,2,Texas,Less Than High School,23718,28960,16533,1
222,2,Texas,High School Grad,30683,36743,23862,3
223,2,Texas,Some College,37934,46389,31172,4
224,2,Texas,Bachelors Degree,56363,70139,49671,6
225,2,Texas,Graduate Degree,73266,93806,60982,7
226,27,Utah,Less Than High School,27005,32116,19783,1
227,27,Utah,High School Grad,32333,41482,25557,3
228,27,Utah,Some College,36700,47256,27184,4
229,27,Utah,Bachelors Degree,50195,66310,35361,6
230,27,Utah,Graduate Degree,74609,90628,55912,7
231,51,Vermont,Less Than High School,26777,30672,16845,1
232,51,Vermont,High School Grad,32404,38289,26416,3
233,51,Vermont,Some College,38234,44445,32745,4
234,51,Vermont,Bachelors Degree,44606,53240,39314,6
235,51,Vermont,Graduate Degree,61517,73233,54726,7
236,16,Virginia,Less Than High School,25054,30376,18443,1
237,16,Virginia,High School Grad,31759,38381,25685,3
238,16,Virginia,Some College,39256,47924,32200,4
239,16,Virginia,Bachelors Degree,60520,76339,49537,6
240,16,Virginia,Graduate Degree,84674,106984,65411,7
241,29,Washington,Less Than High School,27253,31755,21228,1
242,29,Washington,High School Grad,35244,42001,27512,3
243,29,Washington,Some College,41018,50661,32499,4
244,29,Washington,Bachelors Degree,61735,77313,49017,6
245,29,Washington,Graduate Degree,80457,101172,66057,7
246,39,West Virginia,Less Than High School,21292,26282,15450,1
247,39,West Virginia,High School Grad,29353,37571,22263,3
248,39,West Virginia,Some College,32352,43719,26566,4
249,39,West Virginia,Bachelors Degree,44906,53851,39036,6
250,39,West Virginia,Graduate Degree,56808,71106,51815,7
251,17,Wisconsin,Less Than High School,26869,31213,20664,1
252,17,Wisconsin,High School Grad,32738,40477,25984,3
253,17,Wisconsin,Some College,38901,47841,31511,4
254,17,Wisconsin,Bachelors Degree,52686,64190,44927,6
255,17,Wisconsin,Graduate Degree,66536,79154,60231,7
256,47,Wyoming,Less Than High School,26671,32896,18191,1
257,47,Wyoming,High School Grad,34778,47373,23504,3
258,47,Wyoming,Some College,37699,51439,28739,4
259,47,Wyoming,Bachelors Degree,49141,55557,43077,6
260,47,Wyoming,Graduate Degree,62430,68893,57694,7
